Kadhal Rojavae,2000
Kannukkul Nilavu,
Thirunelveli,
Vaanathaippola,
Eazhaiyin Sirippil,
Good Luck,
Annai,
Hey Ram,
Sudhandhiram,
Thai Poranthachu,
Mugavaree,
Kakkai Siraginilae,
Alaipayuthey,
Rajakali Amman,
Sandhitha Velai,
Vallarasu,
James Pandu,
Veeranadai,
Athey Manithan,
Kandukondain Kandukondain,
Kandha Kadamba Kathir Vela,
Kushi,
Kannan Varuvaan,
Unnai Kodu Ennai Tharuven,
Magalirkkaga,
Karisakattu Poove,
Appu,
Ennamma Kannu,
Nagalingam,
Vetri Kodi Kattu,
Pennin Manathai Thottu,
Koodi Vazhnthal Kodi Nanmai,
Kuberan,
Unakkaga Mattum,
Puthira Punithama,
Kann Thirandhu Paaramma,
Simmasanam,
Doubles,
Independence Day,
Parthen Rasithen,
Kannaal Pesavaa,
Maayi,
Bharathi,
Chinna Chinna Kannile,
Krodham 2,
Sabhash,
Unnai Kann Theduthey,
Budget Padmanabhan,
Ninaivellam Nee,
Rhythm,
Ilaiyavan,
Karuvelam Pookkal,
Puratchikkaaran,
Uyirile Kalanthathu,
Kannukku Kannaga,
Palayathu Amman,
Priyamaanavale,
Thenali,
Vaanavil,
Seenu,
Anbudan,
Vanna Thamizh Pattu,
Snegithiye,
En Sakhiye,
Penngal,
Pottu Amman,
Manasu,
Aval Paavam,
Ennavale,
Manu Needhi,
Nee Enthan Vaanam,
Dheena,2001
Friends,
Looty,
Nageswari,
Pullanalum Pondatti,
Vaanchinathan,
Nila Kaalam,
Minnale,
Engalukkum Kaalam Varum,
Ullam Kollai Poguthae,
Piriyadha Varam Vendum,
Rishi,
Thaalikaatha Kaaliamman,
En Purushan Kuzhandhai Maadhiri,
Ninaikkatha Naalillai,
Paarvai Ondre Podhume,
Natchatra Kadhal,
Vinnukum Mannukum,
Badri,
Dumm Dumm Dumm,
Little John,
Seerivarum Kaalai,
Sri Raja Rajeshwari,
En Iniya Pon Nilavae,
Asathal,
Middle Class Madhavan,
Sigamani Ramamani,
Aanandham,
Sonnal Thaan Kaadhala,
Citizen,
Krishna Krishna,
Kunguma Pottu Gounder,
Love Channel,
Dosth,
Lovely,
Dhill,
Narasimha,
Poove Pen Poove,
Star,
Super Kudumbam,
Kalakalappu,
Kanna Unnai Thedukiren,
Kutty,
Viswanathan Ramamoorthy,
Poovellam Un Vasam,
Vedham,
Samudhiram,
Chocklet,
Alli Thandha Vaanam,
Maayan,
Veettoda Mappillai,
Pandavar Bhoomi,
12B,
Kabadi Kabadi,
Mitta Miraasu,
Asokavanam,
Aalavandhan,
Aandan Adimai,
Kaatrukkenna Veli,
Kasi,
Love Marriage,
Manadhai Thirudivittai,
Nandha,
Paarthale Paravasam,
Ponnana Neram,
Shahjahan,
Thavasi,
Azhagana Naatkal,
Kadal Pookkal,
Kottai Mariamman,
Majunu,
Vadagupatti Maapillai,
Pugaippadam,2010
Thunichal,
Kalasaaram,
Aayirathil Oruvan,
Kutty,
Naanayam,
Porkkalam,
Goa,
Jaggubhai,
Kathai,
Thairiyam,
Thamizh Padam,
Aasal,
Theeradha Vilaiyattu Pillai,
Rasikkum Seemane,
Innisai Kavalan,
Vinnaithaandi Varuvaayaa,
Aval Peyar Thamizharasi,
Kumari Pennin Ulathile,
Thambikku Indha Ooru,
Veerasekaran,
Azhagaana Ponnuthan,
Karunai,
Maathi Yosi,
Yathumaagi,
Kacheri Arambam,
Mundhinam Paartheney,
Angaadi Theru,
Padagasalai,
Paiyaa,
Sivappu Mazhai,
Bayam Ariyaan,
Pattu Vanna Rosavam,
Rettaisuzhi,
Sura,
Goripalayam,
Guru Sishyan,
Irumbu Kottai Murattu Singam,
Kutti Pisasu,
Maa,
Kanagavel Kaaka,
Kola Kolaya Mundhirika,
Maanja Velu,
Magane En Marumagane,
Kadhalagi,
Kattradhu Kalavu,
Singam,
Pen Singam,
Drogam Nadanthathu Enna,
Orr Eravuu,
Pa. Ra. Palanisamy,
Raavanan,
Kalavani,
Milaga,
Thittakudi,
Unakkaga Oru Kavithai,
Indrasena,
Ambasamudram Ambani,
Pournami Naagam,
Veluthu Kattu,
Anandhapurathu Veedu,
Madrasapattinam,
Antharangam,
Devaleelai,
Pollachi Mappillai,
Virunthali,
Singamugam,
Thillalangadi,
Vizhiyil Vizhunthaval,
Aaravadhu Vanam,
Ilakkana Pizhai,
Thambi Arjuna,
Baana Kaathadi,
Pesuvatha Kiliya,
Androru Naal,
Kaadhal Solla Vandhen,
Mandabam,
Vamsam,
Inidhu Inidhu,
Kaipesi Yen,
Naan Mahaan Alla,
Moscowin Kavery,
Neeyum Naanum,
Puthumugam,
Raamar,
Unakkaga En Kadhal,
Vilai,
Bale Pandiya,
Irandu Mugam,
Kalloori Kalangal,
Puzhal,
Ragasiyam,
Sindhu Samaveli,
Boss Engira Bhaskaran,
Drohi,
Tiruppur,
365 Kadhal Kadithangal,
En Kanmani Priya,
Vandae Maatharam,
Enthiran,
Gowravargal,
Naane Ennul Illai,
Ochayee,
Thottu Paar,
Vaadaa,
Aarvam,
Ithu Kadhal Uthirum Kaalam,
Mattuthavani,
Thangapaambu,
Unnaiye Kadhalipen,
Neethana Avan,
Chithira Poove,
Mynaa,
Uthama Puthiran,
Va,
Vallakottai,
Magizhchi,
Mandhira Punnagai,
Nagaram Marupakkam,
Kanimozhi,
Nandalala,
Chikku Bukku,
Tha,
Agam Puram,
Ayyanar,
Sanikizhamai Saayangalam 5 Mani,
Siddu,
Virudhagiri,
Aattanayagann,
Easan,
Nil Gavani Sellathey,
Manmadhan Ambu,
Aridhu Aridhu,
Athisaya Manal Matha,
Chutti Chathan,
Nellu,
Thenmerku Paruvakaatru,
Kotti,
Mudhal Kadhal Mazhai,
Nalamdhana,
Villalan,
Thamizh Desam,2011
Aadukalam,
Siruthai,
Ilaignan,
Kaavalan,
Sollitharava,
Pathinaaru,
Pazhagiyathe Pirivatharka,
Vaada Poda Nanbargal,
Yuddham Sei,
Thoonga Nagaram,
Idhu Kadhal Uthirum Kaalam,
Nandhi,
Payanam,
Thambikottai,
Varmam,
Aadu Puli,
Kadhalar Kudiyiruppu,
Nadunissi Naaygal,
Thappu,
Aaranin Kaaval,
Margazhi 16,
Seedan,
Singam Puli,
Ayyan,
Bhavani: The Real Police,
Aivar,
Lathika,
Minsaaram,
Avargalum Ivargalum,
Muthukku Muthaaga,
Kullanari Koottam,
Kumara,
Padai Soozha,
Sattapadi Kutram,
Nil Gavani Sellathey,
Appavi,
Nanjupuram,
Thenkasi Pakkathula,
Mappillai,
Ponnar Shankar,
Ko,
Vikadakavi,
Kadhal Meipada,
Vaanam,
Poova Thalaiya,
Engeyum Kadhal,
Paasakaara Nanbargal,
Azhagarsamiyin Kudhirai,
Narthagi,
Kandaen,
Maithanam,
Suttum Vizhi Chudare,
Eththan,
Sabash Sariyana Potti,
Aanmai Thavarael,
Anbirkku Alavillai,
Oru Santhippil,
Aaranya Kaandam,
Aasaipadugiren,
Shanthi Appuram Nithya,
Anaagarigam,
Avan Ivan,
Pillaiyar Theru Kadaisi Veedu,
Udhayan,
Nootrenbadhu,
Arumbu Meesai Kurumbu Paarvai,
Theneer Viduthi,
Venghai,
Deiva Thirumagal,
Kanchana,
Bodinayakanur Ganesan,
Karungali,
Markandeyan,
Veppam,
Doo,
Potta Potti,
Ramanathapuram,
Konjam Mazhai Konjam Veyil,
Rowthiram,
Saghakkal,
Sankarankovil,
Uyarthiru 420,
En Ullam Unnai Theduthe,
Mittai,
Mudhal Idam,
Vengayam,
Puli Vesham,
Yuvan Yuvathi,
Mankatha,
Ayudha Porattam,
Kasethan Kadavulada,
Mathikettan Salai,
Engeyum Eppodhum,
Vanthaan Vendraan,
Aayiram Vilakku,
Aduthathu,
Thigattadha Kadhal,
Muran,
Vaagai Sooda Vaa,
Vedi,
Vellore Maavattam,
Sadhurangam,
Raa Raa,
Varnam,
Varudangal 20,
Keezhatheru Kicha,
Uyirin Yedai 21 Ayiri,
7aam Arivu,
Velayudham,
Konjam Sirippu Konjam Kobam,
Naa Sivanagiren,
Thambi Vettothi Sundaram,
Vithagan,
Marudhavelu,
Mayakkam Enna,
Othigai,
Paalai,
Poraali,
Osthe,
Venmani,
Neeye En Kadhali,
Mambattiyan,
Uchithanai Muharnthaal,
Mouna Guru,
Rajapattai,
Mahaan Kanakku,
Maharaja,
Paavi,
Padhinettan Kudi Ellai Arambam,
Karuthakannan Rekla Race,
Vazhividu Kanney Vazhividu,
Nanban,2012
Kollaikaran,
Vettai,
Medhai,
Paari,
Settai Dhanam,
Theni Maavattam,
Marina,
Sengathu Bhoomiyilae,
Dhoni,
Oru Mazhai Naangu Saaral,
Oru Nadigaiyin Vaakkumoolam,
Soozhnilai,
Vachaathi,
Vilayada Vaa,
Ambuli,
Kadhalil Sodhappuvadhu Yeppadi,
Muppozhudhum Un Karpanaigal,
Udumban,
Kadhal Paathai,
Virudhanagar Sandhippu,
Aravaan,
Kondaan Koduthaan,
Shankar Oor Rajapalayam,
Naanga,
Pathirama Pathukkunga,
Sevarkodi,
Kazhugu,
Maasi,
Vinmeengal,
Aayiram Muthangaludam Thenmozhi,
Kadhal Pisase,
Kantha,
Nanda Nanditha,
3,
Meeravudan Krishna,
Mudhalvar Mahatma,
Othakkuthirai,
Otha Veedu,
Sooriya Nagaram,
Konjam Mainakale,
Asthamanam,
Mazhaikaalam,
Nandu Bhaskar,
Oru Kal Oru Kannadi,
Pachai Engira Kaathu,
Aduthathu,
Mattuthavani,
Mye,
Ooh La La La,
Aathi Narayana,
Leelai,
Padam Parthu Kadhai Sol,
Gaantham,
Parama Guruµ,
Vazhakku Enn 18/9,
Kalakalappu,
Kandathum Kanadhathum,
Raattinam,
Anbulla Manvizhiye,
Ishtam,
Konjum Mainakkale,
Idhayam Thiraiarangam,
Manam Kothi Paravai,
Mayanginen Thayanginen,
Thadaiyara Thaakka,
Krishnaveni Panjaalai,
Porkodi 10am Vaguppu,
Thoothuvan,
Marupadiyum Oru Kadhal,
Murattu Kaalai,
Saguni,
Naan Ee,
Billa II,
Maalai Pozhudhin Mayakathilaey,
Pechiyakka Marumagan,
Pollangu,
Suzhal,
Madhubana Kadai,
Mirattal,
Aasami,
Yugam,
Adhisaya Ulagam,
Eppadi Manasukkul Vanthai,
Palayamkottai,
Panithuli,
Sri Ramakrishna Darsanam,
Attakathi,
Iruvan,
Naan,
Etho Seithai Ennai,
Pandi Oliperukki Nilayam,
Poovampatty,
18 Vayasu,
Aachariyangal,
Anil,
Avan Appadithan,
Perumaan,
Mugamoodi,
Valiban Suttrum Ulagam,
Arakkonam,
Kalla Parunthu,
Mannaru,
Paagan,
Nellai Sandhippu,
Sundarapandian,
Chaarulatha,
Saattai,
Thaandavam,
Pudhiya Kaaviyam,
Sembattai,
Maattrraan,
Soundarya,
Amridha Yokam,
Koyambedu Perundhu Nilayam,
Pizza,
Thiruthani,
Aarohanam,
Chakravarthy Thirumagan,
Mayilu,
Vavval Pasanga,
Ariyaan,
Asaivam,
Magan,
Yaarukku Theriyum,
Ajantha,
Ammavin Kaipesi,
Kasi Kuppam,
Podaa Podi,
Thuppakki,
Kai,
Naduvula Konjam Pakkatha Kaanom,
Neerparavai,
Sun Sun Thatha,
Kumki,
Neethaane En Ponvasantham,
Sattam Oru Iruttarai,
Akilan,
Kandu Pudichitten,
Kozhi Koovuthu,
Lollu Dhadha Parak Parak,
Paraseega Mannan,
Puthumughangal Thevai,
Kalla Thuppakki,2013
Kanavu Kadhalan,
Kurumbukkara Pasanga,
Mayil Paarai,
Nanbargal Gavanathirkku,
Nimidangal,
Alex Pandian,
Kanna Laddu Thinna Aasaiya,
Samar,
Puthagam,
Vijayanagaram,
Pathayeram Kodi,
Kadal,
David,
Vishwaroopam,
Nesam Nesapaduthe,
Sillunu Oru Sandhippu,
Vana Yuddham,
Ameerin Aadhi Bhagavan,
Ariyathavan Puriyathavan,
Haridas,
Paatti,
Aandava Perumal,
Chuda Chuda,
Chandamama,
Lollu Dada Parag Parag,
Vellachi,
Mathil Mel Poonai,
Onbadhule Guru,
Pesamal Pesinaal,
Sundaattam,
Garuda Paarvai,
Karumpuli,
Paradesi,
Vatthikuchi,
Kan Pesum Varthaigal,
Kantha,
Karuppampatti,
Maranthen Mannithen,
Naanum En Jamunavum,
Azhagan Azhagi,
Chennaiyil Oru Naal,
11355,
Kedi Billa Killadi Ranga,
Keeripulla,
4,
Settai,
Vetkathai Kettal Enna Tharuvai,
Maruvisaranai,
Ninaivugal Azhivathillai,
Maman Machan,
Unaku 20 Enaku 40,
Gouravam,
Iru Killadigal,
Thirumathi Thamizh,
Udhayam NH4,
Naan Rajavaga Pogiren,
Oruvar Meethu Iruvar Sainthu,
Yaaruda Mahesh,
Ethir Neechal,
Moondru Per Moondru Kadhal,
Soodhu Kavvum,
"Nagaraja Cholan MA, MLA",
Neram,
Masani,
Galapetti,
Chockali,
Kutti Puli,
Issaki,
Kandathum Kadhal Antharangam,
Yamuna,
Solla Matten,
Theeya Velai Seiyyanum Kumaru,
Thillu Mullu,
Theekulikkum Pachaimaram,
Annakodi,
Thulli Vilayadu,
Title,
Singam II,
Anba Azhaga,
Kaadhale Ennai Kaadhali,
Sathiram Perundhu Nilayam,
Maryan,
Pattathu Yaanai,
Sonna Puriyathu,
Nenju Irukkum Varai Ninaivu Irukkum,
Pullukatu Muthamma,
Ainthu Ainthu Ainthu,
Aadhalal Kadhal Seiveer,
Thalaivaa,
Desingu Raja,
Ponmaalai Pozhudhu,
Summa Nachunu Irukku,
Suvadugal,
Thanga Meenkal,
Varuthapadatha Valibar Sangam,
Arya Surya,
Mathapoo,
Moodar Koodam,
Unnodu Oru Naal,
6,
Adutha Kattam,
Mouna Mazhai,
Ya Ya,
Onaayum Aattukkuttiyum,
Raja Rani,
Idharkuthane Aasaipattai Balakumara,
Nila Meedhu Kadhal,
Kayavan,
Naiyaandi,
Vanakkam Chennai,
Anjal Thurai,
Chithirayil Nilachoru,
Ninaivugal Unnodu,
Nirnayam,
Nugam,
Ragalaipuram,
Ingu Kadhal Katrutharapadum,
Muthu Nagaram,
Sutta Kadhai,
Vasanthasena,
Arrambam,
All in All Azhagu Raja,
Pandianadu,
Apple Penne,
Pizza 2: The Villa,
Ravana Desam,
Irandaam Ulagam,
Maayai,
Meiyazhagi,
Appavukku Kalyanam,
Ennachu,
Jannal Oram,
Naveena Saraswathi Sabatham,
Vidiyum Munn,
Ego,
Kalyana Samayal Saadham,
Thagaraaru,
Vellai Desathin Idhayam,
Ivan Veramathiri,
Kolagalam,
Sandhithathum Sindhithathum,
Thedi Pidi Adi,
Biriyani,
Endrendrum Punnagai,
Thalaimuraigal,
Madha Yaanai Koottam,
Bhuvanakadu,
Vizha,
Agadam,2014
Athimalai Muthupandi,
En Kadhal Pudhidhu,
Kathiyai Theetathe Buthiyai Theetu,
Mun Andhi Saaral,
Namma Gramam,
Jilla,
Veeram,
Kalavaram,
Vidiyum Varai Pesu,
Goli Soda,
Ner Ethir,
Malini 22 Palayamkottai,
Inga Enna Solluthu,
Ninaithathu Yaaro,
Maalai Nera Pookkal,
Ninaivil Nindraval,
Rummy,
Kovalanin Kadhali,
Pannaiyarum Padminiyum,
Pulivaal,
Vu,
Chandra,
Idhu Kathirvelan Kadhal,
Madhavanum Malarvizhiyum,
Rettai Kadhir,
Aaha Kalyanam,
Bramman,
Chithirai Thingal,
Manaivi Amaivathellam,
Nila Kaaikirathu,
Venmegam,
Amara,
Panivizhum Malarvanam,
Thegidi,
Vallinam,
Endrendrum,
Ethir Veechu,
Veeran Muthu Raaku,
Nimirndhu Nil,
Aadhiyum Andhamum,
Kadhal Solla Aasai,
Marumugam,
Oru Modhal Oru Kadhal,
Cuckoo,
Kerala Nattilam Pengaludane,
Pani Vizhum Nilavu,
Virattu,
Yasagan,
Inam,
Marumunai,
Nedunchaalai,
Oru Oorla,
Koottam,
Maan Karate,
Oru Kanniyum Moonu Kalavaanikalum,
Aandava Kaapaathu,
Kandharvan,
Naan Sigappu Manithan,
Idhuvum Kadandhu Pogum,
Damaal Dumeel,
Karpavai Katrapin,
Tenaliraman,
Thalaivan,
Ennamo Nadakkudhu,
Pongadi Neengalum Unga Kadhalum,
Vaayai Moodi Pesavum,
Yennamo Yedho,
Nee Enge En Anbe,
Dhavani Kaatru,
Nee En Uyire,
Eppothum Vendran,
Yaamirukka Bayamey,
Angusam,
