Kadhal Rojavae,2000
Vaanathaippola,
Thai Poranthachu,
Mugavaree,
Kakkai Siraginilae,
Alaipayuthey,
Rajakali Amman,
Sandhitha Velai,
Veeranadai,
Athey Manithan,
Kandha Kadamba Kathir Vela,
Magalirkkaga,
Ennamma Kannu,
Nagalingam,
Kuberan,
Unakkaga Mattum,
Puthira Punithama,
Kann Thirandhu Paaramma,
Simmasanam,
Maayi,
Chinna Chinna Kannile,
Krodham 2,
Unnai Kann Theduthey,
Ninaivellam Nee,
Karuvelam Pookkal,
Puratchikkaaran,
Palayathu Amman,
Priyamaanavale,
Vaanavil,
Seenu,
Anbudan,
Vanna Thamizh Pattu,
En Sakhiye,
Penngal,
Pottu Amman,
Manasu,
Aval Paavam,
Ennavale,
Nee Enthan Vaanam,
Nageswari,2001
Pullanalum Pondatti,
Vaanchinathan,
Nila Kaalam,
Engalukkum Kaalam Varum,
Piriyadha Varam Vendum,
Thaalikaatha Kaaliamman,
En Purushan Kuzhandhai Maadhiri,
Paarvai Ondre Podhume,
Natchatra Kadhal,
Vinnukum Mannukum,
Dumm Dumm Dumm,
Little John,
Sri Raja Rajeshwari,
En Iniya Pon Nilavae,
Asathal,
Sonnal Thaan Kaadhala,
Love Channel,
Poove Pen Poove,
Kalakalappu,
Viswanathan Ramamoorthy,
Poovellam Un Vasam,
Vedham,
Samudhiram,
Maayan,
12B,
Asokavanam,
Kaatrukkenna Veli,
Love Marriage,
Ponnana Neram,
Kadal Pookkal,
Vadagupatti Maapillai,
Kalasaaram,2010
Aayirathil Oruvan,
Kathai,
Aasal,
Innisai Kavalan,
Aval Peyar Thamizharasi,
Kumari Pennin Ulathile,
Karunai,
Angaadi Theru,
Padagasalai,
Bayam Ariyaan,
Pattu Vanna Rosavam,
Irumbu Kottai Murattu Singam,
Kutti Pisasu,
Kola Kolaya Mundhirika,
Kadhalagi,
Thittakudi,
Unakkaga Oru Kavithai,
Indrasena,
Pournami Naagam,
Veluthu Kattu,
Antharangam,
Devaleelai,
Virunthali,
Singamugam,
Vizhiyil Vizhunthaval,
Aaravadhu Vanam,
Ilakkana Pizhai,
Androru Naal,
Kaadhal Solla Vandhen,
Mandabam,
Kaipesi Yen,
Moscowin Kavery,
Puthumugam,
Raamar,
Unakkaga En Kadhal,
Vilai,
Kalloori Kalangal,
Puzhal,
Ragasiyam,
Boss Engira Bhaskaran,
Tiruppur,
365 Kadhal Kadithangal,
En Kanmani Priya,
Ochayee,
Thottu Paar,
Aarvam,
Ithu Kadhal Uthirum Kaalam,
Mattuthavani,
Thangapaambu,
Unnaiye Kadhalipen,
Chithira Poove,
Nagaram Marupakkam,
Nandalala,
Agam Puram,
Sanikizhamai Saayangalam 5 Mani,
Siddu,
Athisaya Manal Matha,
Chutti Chathan,
Nalamdhana,
Ilaignan,2011
Sollitharava,
Pazhagiyathe Pirivatharka,
Yuddham Sei,
Idhu Kadhal Uthirum Kaalam,
Varmam,
Kadhalar Kudiyiruppu,
Nadunissi Naaygal,
Thappu,
Aaranin Kaaval,
Margazhi 16,
Ayyan,
Bhavani: The Real Police,
Aivar,
Lathika,
Minsaaram,
Avargalum Ivargalum,
Kumara,
Padai Soozha,
Nil Gavani Sellathey,
Thenkasi Pakkathula,
Ponnar Shankar,
Kadhal Meipada,
Poova Thalaiya,
Paasakaara Nanbargal,
Azhagarsamiyin Kudhirai,
Narthagi,
Maithanam,
Suttum Vizhi Chudare,
Sabash Sariyana Potti,
Oru Santhippil,
Aaranya Kaandam,
Aasaipadugiren,
Anaagarigam,
Nootrenbadhu,
Arumbu Meesai Kurumbu Paarvai,
Theneer Viduthi,
Bodinayakanur Ganesan,
Ramanathapuram,
Konjam Mazhai Konjam Veyil,
Saghakkal,
Sankarankovil,
En Ullam Unnai Theduthe,
Mittai,
Ayudha Porattam,
Mathikettan Salai,
Engeyum Eppodhum,
Thigattadha Kadhal,
Sadhurangam,
Varnam,
Varudangal 20,
Keezhatheru Kicha,
Uyirin Yedai 21 Ayiri,
7aam Arivu,
Konjam Sirippu Konjam Kobam,
Naa Sivanagiren,
Marudhavelu,
Othigai,
Osthe,
Venmani,
Neeye En Kadhali,
Mahaan Kanakku,
Paavi,
Padhinettan Kudi Ellai Arambam,
Karuthakannan Rekla Race,
Vazhividu Kanney Vazhividu,
Kollaikaran,2012
Medhai,
Paari,
Settai Dhanam,
Theni Maavattam,
Oru Mazhai Naangu Saaral,
Oru Nadigaiyin Vaakkumoolam,
Soozhnilai,
Vachaathi,
Vilayada Vaa,
Udumban,
Kadhal Paathai,
Virudhanagar Sandhippu,
Kondaan Koduthaan,
Shankar Oor Rajapalayam,
Naanga,
Pathirama Pathukkunga,
Sevarkodi,
Maasi,
Aayiram Muthangaludam Thenmozhi,
Kantha,
Nanda Nanditha,
Meeravudan Krishna,
Othakkuthirai,
Otha Veedu,
Sooriya Nagaram,
Konjam Mainakale,
Asthamanam,
Mazhaikaalam,
Nandu Bhaskar,
Pachai Engira Kaathu,
Aduthathu,
Mye,
Ooh La La La,
Aathi Narayana,
Padam Parthu Kadhai Sol,
Gaantham,
Parama Guruµ,
Kandathum Kanadhathum,
Raattinam,
Anbulla Manvizhiye,
Konjum Mainakkale,
Idhayam Thiraiarangam,
Mayanginen Thayanginen,
Thadaiyara Thaakka,
Krishnaveni Panjaalai,
Porkodi 10am Vaguppu,
Thoothuvan,
Marupadiyum Oru Kadhal,
Naan Ee,
Billa II,
Maalai Pozhudhin Mayakathilaey,
Pollangu,
Suzhal,
Madhubana Kadai,
Aasami,
Yugam,
Eppadi Manasukkul Vanthai,
Palayamkottai,
Panithuli,
Sri Ramakrishna Darsanam,
Iruvan,
