Kannukkul Nilavu,2000,,N/A,Fazil,"Fazil (story), Gokula Krishna (dialogue)","Vijay, Shalini, Kaveri, Raghuvaran",Tamil,India,N/A,5.8
Thirunelveli,2000,,Drama,Bharati Kannan,Bharati Kannan,"S.S. Chandran, Karan, Ramya Krishnan, Aachi Manorama",Tamil,India,N/A,N/A
Eazhaiyin Sirippil,2000,,Drama,K. Subash,N/A,"Prabhu Deva, Kousalya, Mayilsamy, Anu Mohan",Tamil,India,N/A,N/A
Good Luck,2000,,Drama,Manoj Bhatnagar,N/A,"Sabitha Anand, Vinu Chakravarthy, Pandu, Prashanth",Tamil,India,N/A,4.3
Annai,2000,,Drama,Manobala,N/A,"Bhanupriya, Madhan Bob, Ramesh Khanna, Manobala",Tamil,India,N/A,N/A
Hey Ram,2000,,"Crime, Drama, History",Kamal Haasan,"H. Banerjee (Subtitles), Kamal Haasan, Manohar Shyam Joshi (Hindi dialogue)","Kamal Haasan, Shah Rukh Khan, Rani Mukerji, Hema Malini","Tamil, Hindi",India,5 wins & 7 nominations.,7.9
Sudhandhiram,2000,,"Action, Crime, Drama",Raj Kapoor,"Raqueeb Alam (lyrics), Mohan Nair (dialogue)","Arjun, Nasser, Prithviraj, Raghuvaran","Tamil, Hindi",India,N/A,4.1
Vallarasu,2000,,Action,N. Maharajan,N. Maharajan,"Devayani, Karan, Mansoor Ali Khan, Livingston",Tamil,India,N/A,N/A
James Pandu,2000,,N/A,Selva,"Suki Murthy, Parthiban (story), Nagulan Ponnusamy (dialogue)","Madhan Bob, Renu Desai, Prabhu Deva, Kousalya",Tamil,India,N/A,3.6
Kandukondain Kandukondain,2000,,"Drama, Romance",Rajiv Menon,"Rajiv Menon, Sujatha (dialogue: Tamil version)","Mammootty, Ajith Kumar, Tabu, Aishwarya Rai Bachchan","Tamil, English",India,4 wins & 1 nomination.,7.6
Kushi,2000,,Romance,S.J. Surya,"S.J. Surya (dialogue), S.J. Surya (screenplay), S.J. Surya","Jyothika, Joseph Vijay, Mumtaj, Shilpa Shetty Kundra",Tamil,India,2 wins.,7.4
Kannan Varuvaan,2000,,Romance,Sundar C.,Singampuli (dialogue),"Goundamani, Karthik, Aachi Manorama, Mantra","Tamil, Hindi",India,N/A,5.9
Unnai Kodu Ennai Tharuven,2000,,Romance,Kavee Kalidas,N/A,"Ajith Kumar, Simran, Charlie, Chinni Jayanth",Tamil,India,N/A,4.9
Karisakattu Poove,2000,,Drama,Kasthuri Raja,N/A,"Dhamu, Karikaalan, Kumarasesan, Kushboo",Tamil,India,N/A,N/A
Appu,2000,,"Action, Drama",Vasanth,"Robin Bhatt (story), Vasanth (screenplay)","Devayani, Dhamu, Kaveri, Ramesh Khanna",Tamil,India,N/A,7.2
Vetri kodi kattu,2000,,Comedy,Cheran,N/A,"Murali, Parthiban, Meena, Malavikka",Tamil,India,2 wins & 1 nomination.,7.1
Pennin Manathai Thottu,2000,,Musical,Ezhil,N/A,"Aishwarya, Kaveri, Sarath Kumar, Prabhudheva",Tamil,India,N/A,6.7
Koodi Vazhnthal Kodi Nanmai,2000,,Drama,V. Shekhar,N/A,"Ganeshkar, Karan, Kavitha, Ramesh Khanna",Tamil,India,N/A,N/A
Doubles,2000,,Action,R. Pandiaraajan,N/A,"Aachi Manorama, Meena, R. Pandiaraajan, Prabhudheva",Tamil,India,N/A,4.7
Independence Day: Creating Reality,2000,,"Documentary, Short",N/A,N/A,"Roland Emmerich, Dean Devlin, Patrick Tatopoulos, Michael Joyce",English,USA,N/A,4.4
Parthen Rasithen,2000,,N/A,Saran,N/A,"Fathima Babu, Laila, Prashanth, Raghuvaran",Tamil,India,N/A,7.1
Kannaal Pesavaa,2000,,Drama,Raj Khanna,N/A,"Alphonsa, Vinu Chakravarthy, Goundamani, Mansoor Ali Khan",Tamil,India,N/A,N/A
Bharathi,2000,,Drama,Gnana Rajasekaran,N/A,"Sayaji Shinde, Devayani, Amarasigamani, Pushpaak Ramesh",Tamil,India,5 wins.,7.2
Sabhash,2000,,Thriller,K. Subash,K. Subash,"Delhi Ganesh, Ilavarasu, Pandu, Parthiban",Tamil,India,N/A,7
Budget Padmanabhan,2000,,Drama,T.P. Gajendran,N/A,"Prabhu Ganesan, Karan, Ramya Krishnan, Manivannan",Tamil,India,N/A,4.9
Rhythm,2000,,"Drama, Musical, Romance",Vasanth,N/A,"Ramesh Aravind, Arjun, Jyothika, Lakshmi",Tamil,India,1 win.,7.5
Ilaiyavan,2000,,Musical,N/A,N/A,"Kousalya, Sathyan, Rasheed Ummer",Tamil,India,N/A,N/A
Uyirile Kalanthathu,2000,,Thriller,K. Subash,N/A,"Jyotika, Raghuvaran, Suriya",Hindi,India,N/A,6.7
Kannukku Kannaga,2000,,Drama,S. Dhayalan,N/A,"Devayani, Charu Haasan, Kumarimuthu, Mayilsamy",Tamil,India,N/A,N/A
Thenali,2000,,"Comedy, Drama",K.S. Ravikumar,"Crazy Mohan, Ramakrishna (dialogue), K.S. Ravikumar (story)","Kamal Haasan, Jayaram, Jyotika, Devayani","Tamil, Telugu",India,1 win.,7.5
Snegithiye,2000,,"Musical, Drama, Thriller",Priyadarshan,Priyadarshan (story),"Jyotika, Sharbani Mukherji, Tabu, Lakshmi","Tamil, Malayalam, Hindi",India,N/A,6.7
Manu Needhi,2000,,N/A,Thambi Ramayya,Thambi Ramayya,"G.R., Manivannan, Murali, Napolean",Tamil,India,N/A,N/A
Dheena,2001,,Action,A.R. Murugadoss,A.R. Murugadoss,"Ajith Kumar, Suresh Gopi, Laila, Mahanadhi Shankar",Tamil,India,N/A,7.2
Friends,2001,,"Drama, Comedy, Romance",Siddique,N/A,"Joseph Vijay, Suriya, Ramesh Khanna, Devayani",Tamil,India,1 nomination.,7.5
Looty,2001,,Comedy,N/A,N/A,"Roja, Sathyaraj, Vadivelu, Vivek",Tamil,India,N/A,4.1
Minnale,2001,,"Comedy, Drama, Musical",Gautham Menon,Gautham Menon,"Madhavan, Abbas, Reema Sen, Nagesh","Tamil, Telugu",India,3 wins.,7.7
Ullam Kollai Poguthae,2001,,Drama,C. Sundar,N/A,N/A,Tamil,India,N/A,7.9
Rishi,2001,,Action,Sundar C.,Sundar C.,"Devan, Ramesh Khanna, Sarath Kumar, Meena",Tamil,India,N/A,4
Ninaikkatha Naalillai,2001,,N/A,A.L. Raja,N/A,"Devayani, Kaveri, Manorama, Moulee",Tamil,India,N/A,N/A
Badri,2001,,"Action, Sport",P.A. Arun Prasad,"N. Prasanna Kumar (dialogue), P.A. Arun Prasad (story)","Joseph Vijay, Bhoomika Chawla, Monal, Vivek",Tamil,India,N/A,6.5
Seerivarum Kaalai,2001,,N/A,N/A,N/A,Manorama,Tamil,India,N/A,N/A
Middle Class Madhavan,2001,,Drama,T.P. Gajendran,N/A,N/A,Tamil,India,N/A,N/A
Sigamani Ramamani,2001,,N/A,Visu,N/A,"Aachi Manorama, S.V. Sekhar, Srividya, Urvashi",N/A,India,N/A,N/A
Aanandham,2001,,"Drama, Family",N. Linguswamy,"N. Linguswamy, Brindha Sarathy","Mammootty, Murali, Abbas, Devayani",Tamil,India,2 wins & 3 nominations.,7.2
Citizen,2001,,"Action, Drama, Mystery, Thriller",Saravana Subaiya,N/A,"Vasundhara Das, Devan, Cochin Hanifa, Ajith Kumar",Tamil,India,1 win.,7.1
Krishna Krishna,2001,,Drama,S Ve Shekar,N/A,"Madhan Bob, Chinni Jayanth, Ramesh Khanna, Aachi Manorama",Tamil,India,N/A,N/A
Kunguma Pottu Gounder,2001,,N/A,N/A,N/A,"Kousalya, Rambha, Satyaraj",Tamil,India,N/A,5.1
Dosth,2001,,Drama,Thulasidas,N/A,"Kunchacko Boban, Dileep, Jayasurya, Kavya Madhavan",Malayalam,India,N/A,5.2
Lovely & Amazing,2001,,"Comedy, Drama, Romance",Nicole Holofcener,Nicole Holofcener,"Troy Ruptash, Emily Mortimer, Brenda Blethyn, Raven Goodwin",English,USA,3 wins & 14 nominations.,6.7
Dhill,2001,,"Action, Drama",Dharani,Bharathan (dialogue),"Vikram, Laila, Ashish Vidyarthi, Nassar",Tamil,India,2 wins.,7.2
Narasimha,2001,,Action,Tirupati Swamy,N/A,"Rahul Dev, Isha Koppikar, Nassar, Raghuvaran",Tamil,India,N/A,4.8
Star,2001,,"Action, Short, Comedy",Guy Ritchie,"Guy Ritchie, Joe Sweet","Clive Owen, Michael Beattie, Toru Tanaka Jr., DTeflon",English,USA,1 win.,7.7
Super Kudumbam,2001,,Drama,Kalaimani,N/A,"Alex, Vinu Chakravarthy, Prabhu Ganesan, Parimala",Tamil,India,N/A,N/A
Kanna Unnai Thedukiren,2001,,N/A,P.S. Raj,P.S. Raj (Tamil Version),"Ponvannan, Ranjith, Sathyan, Suvalakshmi",Tamil,India,N/A,N/A
Kutty,2001,,Drama,Janaki Vishwanathan,N/A,"Ramesh Aravind, M.N. Rajam, R.S. Shivaji, Baby P. Shwetha",Tamil,India,1 win.,6.1
Chocklet,2001,,Drama,A. Venkatesh,R. Madhesh,"Prashanth, JayaRe, Mumtaj, Suhasini",Tamil,India,N/A,5
Alli Thandha Vaanam,2001,,Drama,Vijie,Vijie,"Laila, Neha, Prabhudheva, Prakash Raj",Tamil,India,N/A,5
Veettoda Mappillai,2001,,N/A,V. Sekhar,N/A,"Napoleon, Vaiyapuri, Vijayakumar",Tamil,India,N/A,N/A
Pandavar Bhoomi,2001,,N/A,Cheran,Cheran,"Arun Vijay, Shamitha, Raj Kiran, Ranjith",Tamil,India,2 wins.,7.2
Kabadi Kabadi,2001,,Comedy,Pandiarajan,Bhagyaraj,"Karan, Manivannan, Pandiarajan, Sangeetha",Tamil,India,N/A,N/A
Mitta Miraasu,2001,,N/A,M. Kalanjiyam,M. Kalanjiyam,"Alex, Manivannan, Mumtaj, Napolean",Tamil,India,N/A,N/A
