id,shortForm,staff,subjectName,url,year
523,Eng,Prizilla,Communicative English,https://drive.google.com/open?id=1CWAuZeGrmOcI-uuXZHo5bH9Tb5yU8QHj,2015
524,Eng,Prizilla,Communicative English,https://drive.google.com/open?id=1Y6KKXxwehfM9MbiEHEzkbKKRyvAdlPsm,2015
525,Eng,Prizilla,Communicative English,https://drive.google.com/open?id=1XKq8fyQWTEwqAhDrL_ddDWpoeqp1BwO8,2015
530,Phy,Nisha,Applied Physics,https://drive.google.com/open?id=1qrdpKvpNOc1fi82vZI6nqH6jgMQwZCki,2015
532,Chem,Dr.M.J.Umapathy,Chemistry of Materials,https://drive.google.com/open?id=1T2EmFxHF63bYH0tIeKxeR90TP7_nsHH8,2015
533,FOC,TamilVanan,Fundamentals of Computing,https://drive.google.com/open?id=1BNfsel0JUU_FaFvDyy2m9vqH0HmTAmwb,2015
534,FOC,TamilVanan,Fundamentals of Computing,https://drive.google.com/open?id=19PsrrFtdBAqAgAjL27gkz0yjYS6czF6r,2015
540,DM,Dr. Indira,Discrete Mathematics,https://drive.google.com/open?id=1sBEuNiJTRkTBnpy3YrrRN_fpKZ6EK9_E,2015
541,DM,Dr. Indira,Discrete Mathematics,https://drive.google.com/open?id=1fo5A-Y5ToLyRlEmIzG33IRbfUe_Iujix,2015
542,M2,Dr. Vimala Ramani,Mathematics – II,https://drive.google.com/open?id=1eAwMQa3VSRKEXi3EDM1Y_qmiZE1852HR,2015
543,M2,Dr. Vimala Ramani,Mathematics – II,https://drive.google.com/open?id=16GEqs1lleldFDGh7yRkk2038h46tqO_c,2015
544,DS,Dr. Anitha,Digital Systems,https://drive.google.com/open?id=15On1jDWRhfvavplJyoxvh3A0WyeDGxPa,2015
546,C,Dr. Venkatesan,Programming in C,https://drive.google.com/open?id=1gzOD7CjJ_5YDzvSTsg4sy9FsAg28LQFc,2015
547,C,Dr. Venkatesan,Programming in C,https://drive.google.com/open?id=1rZxYqYLHcTVgifE-P73yv35XV3a0G74A,2015
548,C,Dr. Venkatesan,Programming in C,https://drive.google.com/open?id=1r6yRxO4uI4N2DwpMX3_n3lXirOXI91sb,2015
